player,playerLabel,clubLabel,leagueLabel,start,end,caps
http://www.wikidata.org/entity/Q122294,Angelo Di Livio,ACF Fiorentina,Serie A,1999-01-01T00:00:00Z,2005-01-01T00:00:00Z,169
http://www.wikidata.org/entity/Q125438,Massimo Oddo,AC Milan,Serie A,1993-01-01T00:00:00Z,1999-01-01T00:00:00Z,0
http://www.wikidata.org/entity/Q125438,Massimo Oddo,SSC Napoli,Serie A,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z,36
http://www.wikidata.org/entity/Q125438,Massimo Oddo,Hellas Verona FC,Serie A,2000-01-01T00:00:00Z,2002-01-01T00:00:00Z,64
http://www.wikidata.org/entity/Q125438,Massimo Oddo,SS Lazio,Serie A,2002-01-01T00:00:00Z,2007-01-01T00:00:00Z,135
http://www.wikidata.org/entity/Q125438,Massimo Oddo,AC Milan,Serie A,2007-01-01T00:00:00Z,2012-01-01T00:00:00Z,56
http://www.wikidata.org/entity/Q125438,Massimo Oddo,FC Bayern Munich,Bundesliga,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z,18
http://www.wikidata.org/entity/Q125438,Massimo Oddo,US Lecce,Serie A,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,27
http://www.wikidata.org/entity/Q1255625,Samuel Eto'o,Real Madrid Club de Fútbol,La Liga,1997-01-01T00:00:00Z,2000-01-01T00:00:00Z,3
http://www.wikidata.org/entity/Q1255625,Samuel Eto'o,RCD Espanyol de Barcelona,La Liga,1999-01-01T00:00:00Z,1999-01-01T00:00:00Z,0
http://www.wikidata.org/entity/Q1255625,Samuel Eto'o,RCD Mallorca,La Liga,2000-01-01T00:00:00Z,2000-06-01T00:00:00Z,19
http://www.wikidata.org/entity/Q1255625,Samuel Eto'o,RCD Mallorca,La Liga,2000-07-01T00:00:00Z,2004-01-01T00:00:00Z,120
http://www.wikidata.org/entity/Q1255625,Samuel Eto'o,Futbol Club Barcelona,La Liga,2004-01-01T00:00:00Z,2009-01-01T00:00:00Z,144
