player,playerLabel,clubLabel,leagueLabel,start,end,caps
http://www.wikidata.org/entity/Q10855654,Ángel Correa,San Lorenzo de Almagro,Metropolitano de Hockey (men),2012-01-01T00:00:00Z,2014-01-01T00:00:00Z,48
http://www.wikidata.org/entity/Q10855654,Ángel Correa,Atlético Madrid,La Liga,2014-01-01T00:00:00Z,2025-01-01T00:00:00Z,335
http://www.wikidata.org/entity/Q10855654,Ángel Correa,Argentina men's national association football team,,2015-01-01T00:00:00Z,,28
http://www.wikidata.org/entity/Q10855654,Ángel Correa,Argentina national under-20 football team,,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,11
http://www.wikidata.org/entity/Q10855654,Ángel Correa,Argentina national under-23 football team,,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z,2
http://www.wikidata.org/entity/Q10855654,Ángel Correa,Tigres UANL,Liga MX,2025-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,U.S. Avellino 1912,Serie B,1991-01-01T00:00:00Z,1993-01-01T00:00:00Z,33
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,SSC Napoli,Serie A,1993-01-01T00:00:00Z,1997-01-01T00:00:00Z,125
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,Italy national under-21 football team,,1993-01-01T00:00:00Z,1996-01-01T00:00:00Z,11
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,Juventus FC,Serie A,1997-01-01T00:00:00Z,1998-01-01T00:00:00Z,21
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,U.C. Sampdoria,Serie B,1998-01-01T00:00:00Z,1999-01-01T00:00:00Z,26
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,Torino FC,Serie A,1999-01-01T00:00:00Z,2001-01-01T00:00:00Z,22
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,SSC Napoli,Serie A,2000-01-01T00:00:00Z,2001-01-01T00:00:00Z,27
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,Bologna F.C. 1909,Serie A,2001-01-01T00:00:00Z,2002-01-01T00:00:00Z,33
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,Como 1907,Serie A,2002-01-01T00:00:00Z,2003-01-01T00:00:00Z,27
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,Bologna F.C. 1909,Serie A,2003-01-01T00:00:00Z,2006-01-01T00:00:00Z,59
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,Siena FC,Serie C,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z,23
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,Ascoli Calcio 1898 FC,Serie C,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z,6
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,Calcio Foggia 1920,Serie C,2007-01-01T00:00:00Z,2007-01-01T00:00:00Z,14
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,Frosinone Calcio,Serie B,2007-01-01T00:00:00Z,2008-01-01T00:00:00Z,26
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,Calcio Foggia 1920,Serie C,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z,24
http://www.wikidata.org/entity/Q1092166,Luigi Turci,U.S. Cremonese,Serie A,1987-01-01T00:00:00Z,1990-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1092166,Luigi Turci,Treviso F.B.C. 1993,Eccellenza,1990-01-01T00:00:00Z,1991-01-01T00:00:00Z,33
http://www.wikidata.org/entity/Q1092166,Luigi Turci,US Alessandria Calcio 1912,Promozione,1991-01-01T00:00:00Z,1992-01-01T00:00:00Z,34
http://www.wikidata.org/entity/Q1092166,Luigi Turci,U.S. Cremonese,Serie A,1992-01-01T00:00:00Z,1996-01-01T00:00:00Z,134
http://www.wikidata.org/entity/Q1092166,Luigi Turci,Udinese Calcio,Serie A,1996-01-01T00:00:00Z,2002-01-01T00:00:00Z,169
http://www.wikidata.org/entity/Q1092166,Luigi Turci,U.C. Sampdoria,Serie B,2002-01-01T00:00:00Z,2005-01-01T00:00:00Z,38
http://www.wikidata.org/entity/Q1092166,Luigi Turci,AC Cesena,Serie B,2005-01-01T00:00:00Z,2007-01-01T00:00:00Z,62
http://www.wikidata.org/entity/Q1093679,Robbie Blake,Darlington F.C.,National League,1994-01-01T00:00:00Z,1997-01-01T00:00:00Z,68
http://www.wikidata.org/entity/Q1093679,Robbie Blake,Waterford United F.C.,League of Ireland Premier Division,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z,2
http://www.wikidata.org/entity/Q1093679,Robbie Blake,Bradford City A.F.C.,EFL League One,1997-01-01T00:00:00Z,2002-01-01T00:00:00Z,153
